x-axis,1,2,3
second,Volt,Volt,Volt
+27.91000E-03,+818.75002E-03,+1.03125000E+00,+943.24994E-03
+27.92000E-03,+693.75002E-03,+781.25000E-03,+755.74994E-03
+27.93000E-03,+693.75002E-03,+625.00000E-03,+599.49994E-03
+27.94000E-03,+725.00002E-03,+562.50000E-03,+599.49994E-03
+27.95000E-03,+943.75002E-03,+625.00000E-03,+661.99994E-03
+27.96000E-03,+1.13125002E+00,+750.00000E-03,+849.49994E-03
+27.97000E-03,+1.47500002E+00,+1.00000000E+00,+1.09949994E+00
+27.98000E-03,+1.69375002E+00,+1.28125000E+00,+1.38074994E+00
+27.99000E-03,+2.06875002E+00,+1.62500000E+00,+1.75574994E+00
+28.00000E-03,+2.25625002E+00,+1.93750000E+00,+2.06824994E+00
+28.01000E-03,+2.44375002E+00,+2.25000000E+00,+2.34949994E+00
+28.02000E-03,+2.53750002E+00,+2.50000000E+00,+2.56824994E+00
+28.03000E-03,+2.47500002E+00,+2.62500000E+00,+2.69324994E+00
+28.04000E-03,+2.41250002E+00,+2.68750000E+00,+2.72449994E+00
+28.05000E-03,+2.16250002E+00,+2.62500000E+00,+2.59949994E+00
+28.06000E-03,+1.91250002E+00,+2.40625000E+00,+2.34949994E+00
+28.07000E-03,+1.63125002E+00,+2.12500000E+00,+2.03699994E+00
+28.08000E-03,+1.28750002E+00,+1.78125000E+00,+1.69324994E+00
+28.09000E-03,+1.00625002E+00,+1.43750000E+00,+1.28699994E+00
+28.10000E-03,+818.75002E-03,+1.03125000E+00,+1.00574994E+00
+28.11000E-03,+662.50002E-03,+781.25000E-03,+693.24994E-03
+28.12000E-03,+725.00002E-03,+625.00000E-03,+599.49994E-03
+28.13000E-03,+818.75002E-03,+531.25000E-03,+536.99994E-03
+28.14000E-03,+1.03750002E+00,+625.00000E-03,+693.24994E-03
+28.15000E-03,+1.41250002E+00,+843.75000E-03,+943.24994E-03
+28.16000E-03,+1.69375002E+00,+1.15625000E+00,+1.28699994E+00
+28.17000E-03,+2.03750002E+00,+1.53125000E+00,+1.69324994E+00
+28.18000E-03,+2.28750002E+00,+1.93750000E+00,+2.09949994E+00
+28.19000E-03,+2.47500002E+00,+2.28125000E+00,+2.41199994E+00
+28.20000E-03,+2.50625002E+00,+2.56250000E+00,+2.66199994E+00
+28.21000E-03,+2.41250002E+00,+2.71875000E+00,+2.72449994E+00
+28.22000E-03,+2.22500002E+00,+2.68750000E+00,+2.66199994E+00
+28.23000E-03,+1.94375002E+00,+2.56250000E+00,+2.44324994E+00
+28.24000E-03,+1.56875002E+00,+2.21875000E+00,+2.13074994E+00
+28.25000E-03,+1.22500002E+00,+1.87500000E+00,+1.69324994E+00
+28.26000E-03,+975.00002E-03,+1.43750000E+00,+1.22449994E+00
+28.27000E-03,+756.25002E-03,+1.03125000E+00,+880.74994E-03
+28.28000E-03,+693.75002E-03,+718.75000E-03,+599.49994E-03
+28.29000E-03,+818.75002E-03,+531.25000E-03,+505.74994E-03
+28.30000E-03,+1.00625002E+00,+562.50000E-03,+599.49994E-03
+28.31000E-03,+1.35000002E+00,+687.50000E-03,+818.24994E-03
+28.32000E-03,+1.72500002E+00,+1.06250000E+00,+1.16199994E+00
+28.33000E-03,+2.03750002E+00,+1.43750000E+00,+1.63074994E+00
+28.34000E-03,+2.35000002E+00,+1.93750000E+00,+2.06824994E+00
+28.35000E-03,+2.50625002E+00,+2.31250000E+00,+2.47449994E+00
+28.36000E-03,+2.50625002E+00,+2.62500000E+00,+2.72449994E+00
+28.37000E-03,+2.38125002E+00,+2.71875000E+00,+2.78699994E+00
+28.38000E-03,+2.10000002E+00,+2.68750000E+00,+2.66199994E+00
+28.39000E-03,+1.69375002E+00,+2.43750000E+00,+2.31824994E+00
+28.40000E-03,+1.31875002E+00,+2.06250000E+00,+1.88074994E+00
+28.41000E-03,+975.00002E-03,+1.59375000E+00,+1.41199994E+00
+28.42000E-03,+725.00002E-03,+1.15625000E+00,+1.00574994E+00
+28.43000E-03,+693.75002E-03,+781.25000E-03,+630.74994E-03
+28.44000E-03,+818.75002E-03,+531.25000E-03,+474.49994E-03
+28.45000E-03,+1.00625002E+00,+500.00000E-03,+505.74994E-03
+28.46000E-03,+1.41250002E+00,+656.25000E-03,+849.49994E-03
+28.47000E-03,+1.78750002E+00,+1.06250000E+00,+1.22449994E+00
+28.48000E-03,+2.19375002E+00,+1.53125000E+00,+1.72449994E+00
+28.49000E-03,+2.41250002E+00,+2.03125000E+00,+2.22449994E+00
+28.50000E-03,+2.53750002E+00,+2.46875000E+00,+2.63074994E+00
+28.51000E-03,+2.47500002E+00,+2.68750000E+00,+2.81824994E+00
+28.52000E-03,+2.19375002E+00,+2.78125000E+00,+2.75574994E+00
+28.53000E-03,+1.81875002E+00,+2.62500000E+00,+2.50574994E+00
+28.54000E-03,+1.38125002E+00,+2.25000000E+00,+2.06824994E+00
+28.55000E-03,+1.06875002E+00,+1.71875000E+00,+1.56824994E+00
+28.56000E-03,+756.25002E-03,+1.21875000E+00,+1.06824994E+00
+28.57000E-03,+693.75002E-03,+781.25000E-03,+661.99994E-03
+28.58000E-03,+756.25002E-03,+562.50000E-03,+474.49994E-03
+28.59000E-03,+1.03750002E+00,+468.75000E-03,+505.74994E-03
+28.60000E-03,+1.47500002E+00,+656.25000E-03,+818.24994E-03
+28.61000E-03,+1.91250002E+00,+1.09375000E+00,+1.25574994E+00
+28.62000E-03,+2.28750002E+00,+1.62500000E+00,+1.84949994E+00
+28.63000E-03,+2.50625002E+00,+2.15625000E+00,+2.34949994E+00
+28.64000E-03,+2.50625002E+00,+2.59375000E+00,+2.72449994E+00
+28.65000E-03,+2.35000002E+00,+2.78125000E+00,+2.84949994E+00
+28.66000E-03,+2.00625002E+00,+2.71875000E+00,+2.72449994E+00
+28.67000E-03,+1.53750002E+00,+2.43750000E+00,+2.31824994E+00
+28.68000E-03,+1.10000002E+00,+1.96875000E+00,+1.78699994E+00
+28.69000E-03,+881.25002E-03,+1.37500000E+00,+1.19324994E+00
